t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
2, 27.70, 22.30, -0.85, -0.19, 9.62, -0.02, 0.08, 0.08
12, 27.70, 22.30, -0.71, -3.53, 9.51, -0.04, 0.06, -0.08
22, 27.70, 22.30, 0.25, 3.85, 7.81, -0.06, 0.08, 0.05
32, 27.70, 22.30, 2.76, -0.30, 7.60, -0.02, 0.08, -0.04
42, 27.70, 22.30, 1.34, -1.43, 9.96, -0.05, 0.05, 0.03
52, 27.70, 22.30, -0.86, 0.17, 10.26, -0.05, 0.11, -0.03
62, 27.70, 22.30, 0.68, -2.68, 12.03, -0.01, 0.04, 0.00
72, 27.70, 22.30, -2.59, 2.32, 9.58, -0.05, 0.08, 0.02
82, 27.70, 22.30, 0.73, -4.24, 9.04, -0.09, 0.06, -0.08
92, 27.70, 22.30, 0.88, 3.27, 8.72, 0.01, 0.06, 0.04
102, 27.70, 22.30, -0.76, -3.68, 10.02, -0.02, 0.03, -0.01
112, 27.70, 22.30, -0.64, 0.06, 10.38, -0.07, 0.06, 0.03
122, 27.70, 22.30, -0.48, 1.80, 10.31, -0.03, 0.08, -0.06
132, 27.70, 22.30, 1.68, -2.85, 10.02, -0.03, 0.02, 0.05
142, 27.70, 22.30, -0.00, 4.69, 7.07, -0.08, 0.06, -0.07
152, 27.70, 22.30, 3.14, -1.52, 8.17, -0.02, 0.05, 0.03
162, 27.70, 22.30, -1.23, -2.14, 9.06, -0.02, 0.07, 0.05
172, 27.70, 22.30, 0.70, -2.76, 10.92, -0.06, 0.02, -0.13
182, 27.70, 22.30, -0.18, 3.84, 10.52, -0.03, 0.06, 0.08
192, 27.70, 22.30, -0.74, -5.32, 9.97, -0.01, 0.07, -0.01
202, 27.70, 22.30, 0.60, 0.01, 8.78, -0.04, 0.07, 0.01
212, 27.70, 22.30, 0.33, 2.37, 8.86, -0.03, 0.10, -0.04
222, 27.70, 22.30, 1.95, -2.35, 10.92, -0.04, 0.05, 0.02
232, 27.70, 22.30, -1.20, 2.07, 8.69, -0.07, 0.11, -0.06
242, 27.70, 22.30, 2.25, -5.26, 9.48, -0.03, 0.05, 0.00
252, 27.70, 22.30, -0.91, 2.07, 8.23, -0.00, 0.05, 0.04
262, 27.70, 22.30, 0.05, -1.91, 9.48, -0.07, 0.06, -0.08
272, 27.70, 22.30, 1.38, 0.28, 9.56, -0.06, 0.10, 0.07
282, 27.70, 22.30, 1.33, -2.06, 9.75, -0.00, 0.05, -0.05
292, 27.70, 22.30, -0.22, 0.93, 10.87, -0.06, 0.05, 0.06
302, 27.70, 22.30, -1.92, 0.90, 9.66, -0.04, 0.10, -0.04
312, 27.70, 22.30, 1.71, -3.29, 8.75, -0.00, 0.03, -0.00
322, 27.70, 22.30, -1.48, 2.01, 8.42, -0.04, 0.06, -0.03
332, 27.70, 22.30, 2.47, -0.56, 9.90, -0.05, 0.04, -0.07
342, 27.70, 22.30, -0.40, 1.26, 9.77, 0.02, 0.09, 0.09
352, 27.70, 22.30, -1.40, -6.19, 10.82, -0.04, 0.02, -0.06
362, 27.70, 22.30, -0.28, 3.96, 8.87, -0.05, 0.04, 0.01
372, 27.70, 22.30, 1.75, 1.71, 7.82, -0.03, 0.08, -0.00
382, 27.70, 22.30, 2.39, -3.39, 8.22, -0.07, 0.04, 0.04
392, 27.70, 22.30, -0.93, 2.93, 9.41, -0.06, 0.08, -0.08
402, 27.70, 22.30, 1.85, -2.83, 11.68, -0.01, 0.07, 0.06
411, 27.70, 22.30, 1.85, -2.83, 11.68, -0.01, 0.07, 0.06
422, 27.70, 22.30, -0.02, -2.34, 10.57, -0.08, 0.06, -0.11
431, 27.70, 22.30, -0.02, -2.34, 10.57, -0.08, 0.06, -0.11
442, 27.70, 22.30, -0.99, -2.93, 9.46, -0.01, 0.04, -0.07
452, 27.70, 22.30, -0.58, 1.38, 8.95, -0.05, 0.08, 0.05
461, 27.70, 22.30, -0.58, 1.38, 8.95, -0.05, 0.08, 0.05
471, 27.70, 22.30, -0.74, 0.82, 9.75, -0.05, 0.09, -0.03
482, 27.70, 22.30, -0.11, 4.45, 8.49, -0.08, 0.14, -0.03
491, 27.70, 22.30, -0.11, 4.45, 8.49, -0.08, 0.14, -0.03
501, 27.70, 22.30, -0.37, -5.83, 10.44, -0.10, 0.06, -0.09
511, 27.70, 22.30, -1.18, 2.82, 8.53, 0.01, 0.02, 0.02
521, 27.70, 22.30, -1.71, -2.90, 10.27, -0.01, -0.02, -0.02
532, 27.70, 22.30, 1.96, -0.48, 7.79, 0.01, 0.07, -0.03
541, 27.70, 22.30, 1.96, -0.48, 7.79, 0.01, 0.07, -0.03
551, 27.70, 22.30, 1.10, -2.22, 10.65, -0.02, 0.01, 0.03
561, 27.70, 22.30, -0.62, 3.37, 9.32, -0.08, 0.09, -0.07
571, 27.70, 22.30, 0.31, -2.29, 12.48, -0.03, 0.06, 0.00
581, 27.70, 22.30, 0.00, -1.12, 8.99, -0.00, 0.04, 0.08
591, 27.70, 22.30, 0.27, -2.63, 8.62, -0.06, 0.02, -0.12
602, 27.70, 22.30, -0.78, -5.80, 9.42, -0.03, 0.04, -0.02
611, 27.70, 22.30, -0.78, -5.80, 9.42, -0.03, 0.04, -0.02
622, 27.70, 22.30, 0.25, 2.15, 8.86, -0.00, 0.08, -0.04
631, 27.70, 22.30, 0.25, 2.15, 8.86, -0.00, 0.08, -0.04
641, 27.70, 22.30, 0.85, -5.25, 11.35, -0.02, 0.04, 0.05
652, 27.70, 22.30, 2.91, -4.56, 9.03, -0.02, 0.03, 0.02
661, 27.70, 22.30, 2.91, -4.56, 9.03, -0.02, 0.03, 0.02
671, 27.70, 22.30, 1.10, 2.07, 8.79, 0.00, 0.07, 0.07
682, 27.70, 22.30, 1.52, 0.65, 9.11, -0.05, 0.09, 0.07
691, 27.70, 22.30, 1.52, 0.65, 9.11, -0.05, 0.09, 0.07
701, 27.70, 22.30, 0.45, 1.54, 9.23, -0.01, 0.07, -0.07
712, 27.70, 22.30, -2.19, 0.08, 9.13, -0.06, 0.10, -0.03
722, 27.70, 22.30, 1.75, -3.70, 8.58, -0.01, 0.03, -0.00
731, 27.70, 22.30, 1.75, -3.70, 8.58, -0.01, 0.03, -0.00
741, 27.70, 22.30, -1.60, 2.69, 9.57, -0.04, 0.09, 0.04
752, 27.70, 22.30, -0.66, 0.78, 10.47, -0.01, 0.08, 0.08
762, 27.70, 22.30, -1.89, -6.27, 10.59, -0.05, 0.03, -0.06
771, 27.70, 22.30, -1.89, -6.27, 10.59, -0.05, 0.03, -0.06
781, 27.70, 22.30, 0.38, 1.87, 8.78, -0.08, 0.04, 0.02
791, 27.70, 22.30, -0.95, 1.70, 9.38, -0.02, 0.09, -0.02
801, 27.70, 22.30, 1.99, -4.23, 10.74, -0.03, 0.05, 0.05
812, 27.70, 22.30, 1.02, -2.38, 11.99, -0.01, 0.04, 0.06
821, 27.70, 22.30, 1.02, -2.38, 11.99, -0.01, 0.04, 0.06
831, 27.70, 22.30, -1.36, -1.21, 8.37, -0.06, 0.10, 0.05
841, 27.70, 22.30, 0.59, -2.57, 9.22, -0.07, 0.07, -0.11
851, 27.70, 22.30, 1.03, 4.88, 9.16, -0.03, 0.06, 0.08
861, 27.70, 22.30, 1.32, -2.26, 10.24, -0.02, 0.06, -0.04
871, 27.70, 22.30, -1.16, -1.77, 11.99, -0.04, 0.07, 0.01
881, 27.70, 22.30, -0.89, 1.36, 9.61, -0.01, 0.09, -0.04
891, 27.70, 22.30, 2.26, -1.45, 8.39, -0.02, 0.03, 0.02
901, 27.70, 22.30, -2.39, 2.46, 8.77, -0.07, 0.11, -0.03
911, 27.70, 22.30, 3.21, -4.82, 9.86, -0.05, 0.07, -0.04
921, 27.70, 22.30, -0.11, 2.51, 9.46, 0.01, 0.04, 0.04
